COD_DPTO,COD_MUNIC,ANO,apgar_bajo_promedio,consultas_promedio,defunciones_fetales,edad_materna_promedio,num_instituciones,pct_area_rural,pct_bajo_nivel_educativo,pct_bajo_peso,pct_cesarea,pct_embarazo_multiple,pct_instituciones_publicas,pct_madres_adolescentes,pct_madres_edad_avanzada,pct_prematuro,pct_regimen_subsidiado,pct_sin_control_prenatal,pct_sin_seguridad_social,presion_obstetrica,tasa_mortalidad_fetal,total_defunciones,total_nacimientos,puntos_riesgo,riesgo_obstetrico,tasa_mortalidad_infantil,alta_mortalidad
50,350,2022,0.0634920634920634,3.555555555555556,0.0,3.984126984126984,34.333333333333336,0.0952380952380952,0.9206349206349206,0.0317460317460317,0.0,0.0,0.3927785425028781,1.0,0.0,0.9523809523809524,0.9206349206349206,0.1904761904761904,0.0,1.8349514563106797,0.0,0.0,63,0,0,0.0,0
50,350,2023,0.0408163265306122,4.918367346938775,2.0,3.959183673469388,34.333333333333336,0.0612244897959183,1.0,0.0204081632653061,0.0,0.0,0.3927785425028781,1.0,0.0,0.979591836734694,1.0,0.0408163265306122,0.0,1.4271844660194173,40.81632653061224,1.0,49,1,0,20.408163265306122,1
50,350,2024,0.024390243902439,4.175,0.0,3.268292682926829,34.333333333333336,0.1219512195121951,1.0,0.0975609756097561,0.0,0.0,0.3927785425028781,1.0,0.0,0.8536585365853658,0.951219512195122,0.1463414634146341,0.024390243902439,1.194174757281553,0.0,0.0,41,1,0,0.0,0
50,370,2020,0.1549295774647887,3.7,0.0,3.380281690140845,34.333333333333336,0.6197183098591549,0.943661971830986,0.028169014084507,0.0,0.0,0.3927785425028781,1.0,0.0,0.7746478873239436,0.943661971830986,0.2253521126760563,0.0,2.067961165048544,0.0,0.0,71,0,0,0.0,0
50,370,2021,0.2391304347826087,3.240506329113924,0.0,3.8369565217391295,34.333333333333336,0.2717391304347826,0.9456521739130436,0.0869565217391304,0.0,0.0,0.3927785425028781,1.0,0.0,0.8152173913043478,0.8804347826086957,0.2826086956521739,0.0,2.6796116504854366,0.0,0.0,92,2,0,0.0,0
50,370,2022,0.1875,3.425531914893617,0.0,3.5,34.333333333333336,0.2916666666666667,0.875,0.0208333333333333,0.0,0.0,0.3927785425028781,1.0,0.0,0.9791666666666666,0.75,0.0833333333333333,0.0,1.3980582524271843,0.0,0.0,48,0,0,0.0,0
50,370,2023,0.1111111111111111,3.4444444444444446,1.0,3.592592592592593,34.333333333333336,0.4814814814814814,0.8518518518518519,0.0,0.0,0.0,0.3927785425028781,1.0,0.0,0.8888888888888888,0.8518518518518519,0.2222222222222222,0.0,0.7864077669902912,37.03703703703704,1.0,27,1,0,37.03703703703704,1
50,370,2024,0.3666666666666666,4.566666666666666,0.0,3.733333333333333,34.333333333333336,0.5,0.8666666666666667,0.0666666666666666,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,0.9333333333333332,0.0666666666666666,0.0,0.8737864077669902,0.0,1.0,30,0,0,33.333333333333336,1
50,400,2020,0.0303030303030303,5.137931034482759,0.0,4.03030303030303,34.333333333333336,0.2424242424242424,0.9393939393939394,0.0,0.0,0.0,0.3927785425028781,1.0,0.0,0.8484848484848485,0.8181818181818182,0.1515151515151515,0.0,0.9611650485436892,0.0,1.0,33,0,0,30.303030303030305,1
50,400,2021,0.0476190476190476,5.380952380952381,1.0,3.619047619047619,34.333333333333336,0.0476190476190476,0.9047619047619048,0.0,0.0,0.0,0.3927785425028781,1.0,0.0,1.0,0.8095238095238095,0.0476190476190476,0.0,0.6116504854368932,47.61904761904761,0.0,21,1,0,0.0,0
50,400,2022,0.0,4.25,0.0,3.75,34.333333333333336,0.125,1.0,0.0,0.0,0.0,0.3927785425028781,1.0,0.0,0.875,0.625,0.125,0.125,0.233009708737864,0.0,0.0,8,-1,-1,0.0,0
50,400,2023,0.0,2.75,0.0,4.75,34.333333333333336,0.5,1.0,0.5,0.0,0.5,0.3927785425028781,1.0,0.0,1.0,1.0,0.0,0.0,0.116504854368932,0.0,0.0,4,-1,-1,0.0,0
50,400,2024,0.1666666666666666,4.666666666666667,0.0,4.0,34.333333333333336,0.3333333333333333,0.8333333333333334,0.0,0.0,0.0,0.3927785425028781,1.0,0.0,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.0,0.174757281553398,0.0,0.0,6,-1,-1,0.0,0
