COD_DPTO,COD_MUNIC,ANO,apgar_bajo_promedio,atenciones_per_nacimiento,consultas_per_nacimiento,consultas_promedio,defunciones_fetales,edad_materna_promedio,indice_fragilidad_sistema,num_instituciones,pct_area_rural,pct_bajo_nivel_educativo,pct_bajo_peso,pct_cesarea,pct_embarazo_multiple,pct_embarazos_alto_riesgo,pct_instituciones_publicas,pct_madres_adolescentes,pct_madres_edad_avanzada,pct_mortalidad_evitable,pct_prematuro,pct_regimen_subsidiado,pct_sin_control_prenatal,pct_sin_seguridad_social,presion_obstetrica,procedimientos_per_nacimiento,tasa_mortalidad_fetal,tasa_mortalidad_neonatal,total_defunciones,total_nacimientos,urgencias_per_nacimiento,edad_materna_categoria,tasa_mortalidad_fetal_categoria,tasa_mortalidad_neonatal_categoria,bajo_peso_categoria,prematuros_categoria,sin_prenatal_categoria,cesareas_categoria,madres_adolescentes_categoria,fragilidad_categoria,presion_obstetrica_categoria
50,150,2020,0.074074074074074,500.0,0.4444444444444444,6.148148148148148,0.0,26.444444444444443,0.0,8,0.037037037037037,0.8518518518518519,0.1111111111111111,0.0,0.0,100.0,0.625,0.1111111111111111,0.074074074074074,0.0,1.0,0.4814814814814814,0.0,0.0,3.375,0.4814814814814814,0.0,0.0,0.0,27,0.1111111111111111,Adultas jóvenes (óptimo),🟢 Bajo,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,150,2021,0.0909090909090909,500.0,0.6363636363636364,6.181818181818182,0.0,27.454545454545453,0.0,8,0.0,0.8181818181818182,0.0454545454545454,0.0,0.0,100.0,0.625,0.0454545454545454,0.1818181818181818,0.0,1.0,0.6363636363636364,0.0,0.0,2.75,0.0909090909090909,0.0,0.0,0.0,22,0.3181818181818182,Adultas jóvenes (óptimo),🟢 Bajo,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,150,2022,0.0,0.0,0.0,4.769230769230769,1.0,23.153846153846157,0.0,8,0.0,0.9230769230769232,0.0769230769230769,0.0,0.0,100.0,0.625,0.2307692307692307,0.0,100.0,1.0,0.6923076923076923,0.0769230769230769,0.0,1.625,0.0,76.92307692307693,0.0,0.0,13,0.0,Jóvenes (bajo riesgo),🔴 Crítico,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,150,2023,0.0,0.0,0.0,4.888888888888889,0.0,24.22222222222222,0.0,8,0.2222222222222222,0.8888888888888888,0.0,0.0,0.0,100.0,0.625,0.0,0.0,0.0,1.0,0.7777777777777778,0.0,0.0,1.125,0.0,0.0,0.0,0.0,9,0.0,Jóvenes (bajo riesgo),🟢 Bajo,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,150,2024,0.0,0.0,0.0,5.0,0.0,23.666666666666668,0.0,8,0.0,1.0,0.1666666666666666,0.0,0.0,83.33333333333334,0.625,0.1666666666666666,0.0,0.0,0.8333333333333334,0.8333333333333334,0.1666666666666666,0.0,0.75,0.0,0.0,0.0,0.0,6,0.0,Jóvenes (bajo riesgo),🟢 Bajo,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,223,2020,0.0,500.0,0.9285714285714286,6.142857142857143,0.0,28.428571428571427,0.0,2,0.0,0.7142857142857143,0.0714285714285714,0.0714285714285714,0.0,100.0,0.5,0.0714285714285714,0.2142857142857142,0.0,1.0,0.6428571428571429,0.0,0.0,7.0,0.5714285714285714,0.0,0.0,0.0,14,0.0,Adultas jóvenes (óptimo),🟢 Bajo,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,223,2021,0.0,500.0,1.3333333333333333,5.333333333333333,0.0,26.444444444444443,0.0,2,0.0,0.7777777777777778,0.1111111111111111,0.0,0.0,100.0,0.5,0.0,0.0,0.0,1.0,0.5555555555555556,0.0,0.1111111111111111,4.5,0.0,0.0,0.0,0.0,9,1.0,Adultas jóvenes (óptimo),🟢 Bajo,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,223,2022,0.0,0.0,0.0,4.428571428571429,0.0,24.857142857142858,0.0,2,0.0,0.7142857142857143,0.0,0.0,0.0,100.0,0.5,0.1428571428571428,0.0,0.0,1.0,0.7142857142857143,0.0,0.0,3.5,0.0,0.0,0.0,0.0,7,0.0,Jóvenes (bajo riesgo),🟢 Bajo,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,223,2023,0.0,0.0,0.0,4.5,0.0,30.75,0.0,2,0.0,0.25,0.0,0.0,0.0,100.0,0.5,0.0,0.25,0.0,1.0,0.75,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4,0.0,Adultas jóvenes (óptimo),🟢 Bajo,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
50,223,2024,0.0,0.0,0.0,4.666666666666667,0.0,23.666666666666668,0.0,2,0.0,1.0,0.0,0.0,0.0,100.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,3,0.0,Jóvenes (bajo riesgo),🟢 Bajo,🟢 Normal (OMS: <5‰),🟢 Bajo,🟢 Bajo,🟢 Excelente cobertura,🟡 Bajo (riesgo de subutilización),🟢 Bajo,🟢 Sistema fuerte,🟢 Baja (buena capacidad)
